,카페이름
686,대명10동 공원다방
687,봉덕2동 고산가배
688,평리3동 수정다방
689,대명6동 카펠라
690,평리6동 소울메이트 평리점
691,평리4동 바닐라빌리지
692,대명6동 옐로우브런치
693,내당3동 설렘카페
694,내당2동 토프레소 대구서문시장점
695,대명6동 카페오슬링(Osling)
696,대명1동 어젠틀맨
697,봉덕3동 커피눔
698,대명3동 1리터(L)맥스커피 남구점
699,비산1동 은다방
700,비산6동 울트라커피
701,상중이동 카페수다
702,비산1동 원대로북카페
703,비산3동 민레스카페
704,안심4동 피쉬마운트커피 반야월점
705,내당3동 옥루몽 대구서문점
706,내당2동 MNS커피
707,대명4동 막
708,평리6동 감성커피 대구중리점
709,평리3동 반짝콩
710,내당4동 진다방
711,대명5동 카페빅플랫
712,봉덕3동 사랑채
713,상중이동 바닐라빌리지
714,대명6동 성당못 빌
715,봉덕1동 테리컴퍼니
716,안심4동 린(Lyn)커피
717,혁신동 유니커리
718,대명5동 커피참
719,대명3동 던커피(Done Coffee)
720,대명4동 까페소울
721,대명5동 카페더빈
722,비산3동 동백다방
723,평리4동 카페땡뚱쁘띠끄
724,평리6동 몬스터커피 서구청점
725,안심4동 반야월에반하다
726,대명9동 무스
727,원대동 미소
728,평리6동 투썸플레이스 대구신평리점
729,이천동 투썸플레이스 대구남구청희망로점
730,대명5동 커매진로스터스
731,평리1동 바운드
732,대명1동 파가니니
733,대명3동 카페쉐어링 영남이공대점
734,봉덕2동 토브카페
735,비산3동 서문다방
736,대명6동 베베커피
737,평리5동 하삼동커피 평리지점
738,대명9동 두낫디스터브앞산
739,평리1동 빽다방 대구서구청점
740,고성동 고성다방
741,비산7동 태왕레스
742,원대동 크럼키
743,비산2동 원대로북카페
744,평리3동 희동이네
745,원대동 세컨바닐라
746,비산2동 수향
747,대명10동 어라운드
748,대명5동 포밍고
749,봉덕1동 띤또카페
750,비산3동 오퍼커피 서문시장점
751,대명6동 베니떼익스프레스
752,고성동 홀란드 뮤지엄
753,평리1동 공차 대구평리점
754,대명9동 카페이륜당 대구남구점
755,대명11동 가연레스카페
756,대명5동 카페굿모닝
757,원대동 홈그라운드카페&펍
758,대명2동 까페영선
759,대명10동 몬스터커피 대명점
760,비산3동 카모밀레
761,대명2동 디저트부티크 엠 남구점
762,대명2동 커피에프7
763,평리3동 커피주
764,비산6동 아빠딸
765,평리6동 위치커피
766,비산6동 카페루앤비 대구평리점
767,이천동 원파인트리
768,내당4동 카페이음
769,대명1동 디어스윗
770,비산2동 미소다방
771,비산6동 달달해
772,대명5동 빈스커피
773,고성동 커피가있는공간
774,비산3동 유정다방
775,평리5동 욜로커피
776,고성동 루미에르
777,이천동 나우커피 대구이천점
778,내당3동 빙내가
779,비산2동 커피크릭
780,대명4동 프랄린 로즈
781,대명2동 죠니
