사업장명,경도,위도,,
북카페휴노,128.5573389,35.93533781,,
투썸플레이스북대구IC주유소DT점,128.6066387,35.9023303,,
레이스MTB,128.5620954,35.93294025,,
봄날,128.5949894,35.90044914,,
게코타워,128.6137906,35.88480495,,
몬스터커피연경점,128.6179566,35.94300772,,
팔공티영진전문대점,128.6245268,35.89477526,,
슈니카페,128.5939058,35.89787411,,
로지트,128.5766094,35.89155225,,
읍천리382,128.5567224,35.93688045,,
마망카페,128.5864198,35.8922629,,
요거프레소(대구연경점),128.6185479,35.94367749,,
카페토스피아,128.6239905,35.89826414,,
요거프레소대구동천점,128.5599175,35.94353027,,
카페루앤비경북대점,128.6126589,35.88456567,,
카페하즈,128.5153284,35.89563909,,
원드링크본점,128.6044241,35.89593309,,
로드42(ROAD42),128.5630247,35.931029,,
느린오후,128.6035598,35.88849285,,
투썸플레이스대구연경점,128.6167709,35.94299676,,
제리집,128.6108605,35.88476868,,
아이니키즈시티랜드,128.5897547,35.88507266,,
이디야커피대구팔달시장점,128.5701045,35.88943113,,
밀프로젝트,128.6169462,35.94261727,,
카페블레스롤 침산점,128.587123,35.8837016,,
위치커피산격점,128.611466,35.90056696,,
하삼동커피대구동천점,128.5586196,35.93725764,,
매스커피침산네거리점,128.591572,35.88925421,,
할리스커피침산네거리점,128.5930139,35.88816994,,
파리엔테스1호점,128.559172,35.932142,,
더리터복현아이파크점,128.6181017,35.89635078,,
구움별,128.5675681,35.94773125,,
위트커피연경점,128.6141886,35.94574518,,
카페봄봄(학정점),128.5650345,35.95226315,,
디스카운트커피,128.6164125,35.90921309,,
춘살롱,128.5509948,35.9423737,,
마음가짐카페(Cafe),128.6235798,35.89367886,,
이디야커피대구연경점,128.615336,35.94221552,,
공차대구복현점,128.6229146,35.89245708,,
커피제임스,128.5914597,35.88669015,,
로터스커피,128.6034157,35.88818514,,
포인트커피(POINT COFFEE),128.558222,35.92953806,,
윤슬:다,128.5469894,35.90919949,,
루아커피(Lua Coffee),128.5944243,35.87801158,,
몰타칠곡점,128.558929,35.93826912,,
카페느와르(Caf'e NOIR),128.6171979,35.89516616,,
마시그래이칠성시장점,128.5982634,35.87619549,,
러디커피(Ruddy coffee),128.5495906,35.93677675,,
달리는커피대구읍내점,128.5518842,35.95075071,,
공차대구연경점,128.615336,35.94221552,,
멜커피(Melcoffee),128.5576896,35.94280027,,
그카페&스몰팩토리,128.5695656,35.93853239,,
히즈윌,128.5477111,35.93026295,,
카페토스피아(이마트칠성점),128.5897547,35.88507266,,
콩테커피,128.6267745,35.91356554,,
더드림커피대구침산1호점,128.5983577,35.8843948,,
육십오도시(65℃),128.6007109,35.89742871,,
이디야커피대구매천점,128.5433737,35.90729631,,
믹스커피,128.5720394,35.94828292,,
위치커피대구복현행복점,128.6201319,35.9045341,,
(주)바론더카페,128.5633037,35.94383351,,
라라빈,128.5559384,35.93948382,,
박쌤커피,128.6204546,35.89191448,,
티엠알커피(tmr coffee),128.5469569,35.93786217,,
더리터대구태전동점,128.5446343,35.93117616,,
우유담:따,128.5579839,35.93680037,,
카페베네,128.5460309,35.9266312,,
델문도커피숍,128.6182579,35.89014579,,
칼디커피,128.6101044,35.88557633,,
루머팡,128.6230343,35.89884145,,
커피볶는다락방,128.5901623,35.89148708,,
솔커피,128.5818352,35.88896096,,
더드림커피,128.6244159,35.90969432,,
힉스커피,128.5450698,35.92679082,,
뤼미에르(Lumiere),128.5898033,35.88035481,,
달리는커피대구산격1호점,128.6078232,35.90091236,,
구공카페팔달점,128.5661946,35.88937135,,
미소통신,128.5533624,35.9331574,,
카페보통의하루,128.6101137,35.89424768,,
비아에스프레쏘클럽(via espresso club),128.5831363,35.88382244,,
단비커피(DAN:B COFFEE),128.615336,35.94221552,,
커피팔이,128.5448432,35.92879247,,
옐랑옐랑,128.6125744,35.89600602,,
더리터대구사수점,128.5142543,35.90028121,,
케이원,128.6022414,35.88857596,,
카페방구석,128.5873794,35.89127744,,
오!봉순,128.582786,35.88191204,,
커피아지트,128.5845581,35.87973007,,
플랜연경점,128.617974,35.94325539,,
미지미카페,128.6027064,35.89588214,,
카페봄봄,128.6099576,35.89409532,,
일청담카페,128.6104653,35.89158379,,
디와이지이,128.5617179,35.94405961,,
투썸플레이스대구침산점,128.5860293,35.88859303,,
생활관카페,128.6104653,35.89158379,,
포인포까페,128.6103841,35.90528982,,
카페블루,128.5570775,35.93146558,,
아이숲침산점,128.5909322,35.88808066,,
커피콩블랙빈,128.5941227,35.87982319,,
카페10cm,128.5640332,35.94297855,,
드롭탑동서변점,128.5990229,35.9223543,,
워킹커피,128.6035918,35.88824533,,
커피나무앤쮸,128.5454567,35.94092564,,
더치이야기,128.5950034,35.92423942,,
커피산책,128.5442,35.93924245,,
엔제리너스칠곡구암역점,128.5501933,35.92508586,,
희루(HeeRoo),128.6169407,35.88893979,,
메가휴게실,128.5584691,35.94269157,,
비에이치(BH),128.5431032,35.92821497,,
스타벅스커피대구칠곡점,128.5638801,35.9421771,,
앤티앤스프레즐,128.5638801,35.9421771,,
까페5도씨,128.548113,35.93325496,,
커피소소,128.5539682,35.92567857,,
투썸플레이스대구금호점,128.5145651,35.89603955,,
킨온커피(keen on coffee),128.5476038,35.92962399,,
