,카페이름
400,만촌2동 디카프리커피로스터스 본점
401,중동 동남다방
402,수성1가동 킹콩쥬스앤커피 대백프라자점
403,국우동 카페봄봄 칠곡 도남점
404,파동 더포켓
405,관문동 청솔로9 매천점
406,구암동 카페뜰
407,수성2가동 카페론썸
408,중동 커피&티하우스
409,칠성동 카페엘림
410,침산1동 올라파티&케이크
411,침산2동 폴인그릭
412,대현동 청솔로9 대현점
413,만촌3동 아드리아
414,수성2가동 비웨이커피
415,칠성동 제주 제이제이씨 커피 롯데대구점
416,수성1가동 달트카페
417,황금2동 시베리안빙수킹&카페 황금점
418,복현2동 살롱드루루
419,관음동 제로디스턴스
420,복현1동 은하수다방
421,황금1동 힐링카페
422,태전1동 소답하게
423,파동 펫타임
424,태전1동 쿠마커피로스터
425,무태조야동 도현당
426,두산동 헬로72번가
427,파동 커피스미스
428,수성2가동 달콤당
429,태전2동 영7080라이브
430,태전1동 마이우디
431,대현동 만난상점
432,태전2동 커피유
433,산격4동 식스센스
434,만촌1동 드림쿡
435,구암동 카페10cm
436,상동 차마고도
437,무태조야동 드롭탑 대구연경점
438,읍내동 보금자리
439,수성1가동 피테
440,만촌2동 teo
441,침산2동 모로커피
442,만촌3동 디어첼시
443,황금2동 엽전레스토랑
444,노원동 크럼키
445,국우동 카페히스토리스탠드
446,복현2동 커페다움
447,구지면 만남다방
448,산격1동 촌실빵실살롱드테
449,관음동 커피바스켓
450,구암동 포인트커피(POINTCOFFEE)
451,관문동 커피홀 대구사수점
452,동천동 주블리
453,국우동 홀즈
454,만촌3동 미니플러스
455,중동 커피는책이랑
456,파동 약꾹옆에서
457,침산3동 카페디쁘
458,관음동 이디야커피 대구칠곡홈플러스점
459,만촌2동 빈플래닛
460,산격1동 플랜어트립
461,황금1동 이런커피
462,침산3동 연암
463,태전1동 라온커피
464,범어3동 오늘
465,태전1동 쥬씨 보건대점
466,노원동 반도커피
467,중동 카페누구나
468,만촌2동 하늘연꽃
469,구암동 카페모임
470,수성2가동 블루샥 대구범어점
471,산격2동 오이구이
472,수성3가동 매머드익스프레스 대구수성
473,황금1동 이끌림스터디카페
474,산격3동 컴포즈커피 경북대점
475,검단동 왓쿡왓커피 대구이시아점
476,대현동 카페이브나
477,산격3동 스테디커피 경대북문점
478,대현동 더리터 대구대현점
479,범어3동 에이블에스주스
480,수성1가동 르씨엘 대백프라자점
481,태전2동 공차 대구매천점
482,황금1동 이디야커피 대구범어경신점
483,만촌2동 커피명가 엘림점
484,수성2가동 쁘띠에뜨아르커피&공방
485,검단동 스타벅스 대구봉무점
486,복현1동 아소카페
487,관문동 소마커피
488,만촌3동 노스페이스카페 대구수성점
489,수성2가동 대구커피숍
490,범어1동 텐퍼센트커피 대구범어그랜드점
491,노원동 불티다방
492,산격1동 주비 두루향기롭다
493,검단동 레드애플 롯데아울렛이시아폴리스점
494,범어1동 빽다방 대구범어역점
495,수성4가동 비웨이커피
496,칠성동 매스커피 침산점
497,복현2동 모나코플레이스
498,검단동 딥딥딥
499,수성1가동 카페 꽃이피다 수성점
500,산격3동 캐피톨커피
501,침산3동 하이오커피 대구침산점
502,범어1동 시나본 대구범어점
503,읍내동 레나
504,산격2동 콤마
505,동천동 더벤티 대구칠곡점
506,노원동 빙그레다방
507,관문동 하중도카페
508,황금1동 마을카페
509,수성3가동 한일다방
510,수성4가동 세라젬웰카페 대구수성직영점
511,파동 제이블리
512,만촌2동 더진스커피 범어점
513,읍내동 온디맨드
514,황금1동 인디고카페
515,칠성동 마시그래이 칠성시장점
516,칠성동 커피콩블랙빈
517,황금2동 또리커피 수성점
518,범어2동 더카페아리아 범어점
519,파동 디저트39 대구 수성못점
520,만촌1동 니어하우스
521,산격3동 마실커피 경북대점
522,범어3동 멜번레인
523,국우동 레알카페
524,침산1동 투썸플레이스 대구침산점
525,산격2동 커피명가 신세계병원점
526,무태조야동 하삼동커피 연경중앙점
527,태전1동 푸키쿠키
528,산격3동 봉명동내커피 대구경북대점
529,국우동 믹스커피
530,관음동 요거트월드 대구칠곡점
531,만촌2동 만촌3
532,침산3동 카페애하
533,범어4동 코르코르커피 KBS점
534,수성4가동 비네스트
535,태전2동 혜민커피
536,범어4동 청수67카페
537,상동 해리슨커피
538,침산2동 티앤오
539,구암동 카페AA 칠곡점
540,산격3동 망티커피 경북대북문점
541,산격4동 더리터 경북대점
542,무태조야동 탑리터 연경점
543,무태조야동 카페보스
544,황금2동 요거트월드 대구수성점
545,국우동 커피봉봉
546,범어3동 신천커피
547,관음동 네일n카페
548,범어2동 희연커피
549,수성1가동 닿은
550,산격3동 헬리빈커피 경대북문점
551,구암동 커피본
552,상동 에스프레소237
553,산격1동 올랑올랑
554,범어3동 브랜치카페
555,범어4동 마시그래이 범어로데오점
556,만촌3동 나리꼬모 본점
557,국우동 투데이로스팅커피 국우점
558,만촌2동 디어첼시
559,수성4가동 슬로우라이프
