,카페이름
624,할리스 대구세천점
625,옐로팩토리
626,마시그래이 칠성시장점
627,카페블랑쉐
628,630- 02-02351
629,공차 경북대점
630,카페여문
631,커피한잔의여유
632,위치커피 대구두류점
633,하삼동커피 동대구점
634,혜동
635,스무디킹 이마트24범어로데오점
636,더리터 대구화원점
637,마더커피
638,슈크레
639,금커피별빙수 경북대점
640,디어라마
641,스테이어
642,카페생명나무
643,별을품은아이
644,카페봄봄 비산점
645,유엠엠커피(UMMCOFFEE)
646,비아에스프레소클럽
647,마시그래이 진천점
648,딜리저트 송현점
649,블랙커피
650,루체
651,피쉬마운트커피 반야월점
652,커피앤스토리
653,나리꼬모 본점
654,라움플라워카페
655,아몬즈베이크
656,대익차
657,카페드크래프트
658,로스터고
659,우드맥
660,소소우드
661,투썸플레이스 북대구IC주유소DT점
662,삼영다방
663,탈린커피바
664,감성커피 대구방촌점
665,레터프롬
666,비밀의화원 동성로점
667,청솔로9 동대구역점
668,레프트뱅크 상인네거리점
669,스테디커피 진천본점
670,머그컵
671,좋은날
672,스니프
673,카페소소
674,카페유얼턴
675,푸유
676,마시그래이 이곡점
677,엑스포커피
678,스마일커피팩토리
679,공감앤카페
680,킹콩쥬스앤커피 대백프라자점
681,카페오딜리
682,커피온니두
683,서로커피
684,무인다방 알파DT
685,에프닷커피
686,에이에스라이브카페
687,꿈꾸는다락방
688,차얌 대구상인역점
689,카페봄봄 월촌점
690,에크피
691,커핏
692,요거트렌디
693,스위트홀릭 본점
694,믹쓰커피케이크
695,동진다방
696,청솔로9 율하점
697,원애견&뭉까두까
698,킹덤와플카페
699,피플스커피
700,가인커피숍
701,카페레드베리
702,웜브리즈
703,샌드선샤인 죽전점
704,희상점
705,허유산 대백프라자점
706,로이노엘
707,핸즈커피 옥포점
708,2포인트커피
709,카페봄봄 카톨릭병원점
710,투썸플레이스 대구수목원점
711,퀸즈크라운베이커리카페
712,러블리리본츄
713,베르겐 에스프레소바
714,녹아 대구남산점
715,수연커피숍
716,커피인구
717,무하커피&타로
718,무인카페
719,FRICE COFFEE
720,반야월연꽃마을 협동조합
721,브릿지커피
722,더벤티 대구율하광장점
723,하삼동커피
724,공차 대구범물점
725,카페생활
726,배달의카페 성서점
727,안순금갤러리카페
728,리즈카페
729,목로카페
730,팔공티 대구황금점
731,미스터디저트
732,노커커피 (휴업중)
733,우리다원
734,마스터키 동성로2호점
735,투데이로스팅커피 신암점
736,카페빌라주
737,틸더커피바
738,미앤유
739,스타벅스 대구칠곡대로DT점
740,아마스빈 대구죽곡점
741,카페꽃이피다 침산점
742,이층공작소
743,마젤빈티지&카페
744,디르페
745,종종
746,오쏘커피
747,카페디쁘
748,더리터 대구신기점
749,가온길 롯데마트율하점
750,Rhema카페&기독서점
751,로비
752,카페충분
753,류커피
754,동기부여
755,헤이즈스트릿
756,메이드인
757,플러시커피스탠드
758,청솔로9 동구점
759,홍다방
760,다올
761,카페204
762,카페달달 칠곡점
763,커피바이트 감삼점
764,빽다방 대구방촌상명점
765,플러터
766,핸즈커피 죽곡점
767,카페빈어스
768,공차 대구보건대점
769,탐앤탐스 대구들안길점
770,송우카페
771,또또다방
772,해리스
773,몬스터커피 보건대점
774,블루나인
775,코스모스커피
776,쿠프만 방촌점
777,카페드리즐
778,슬림캠프
779,아인슈페너
780,사유
781,카페랑
782,소디스에스프레소바 대구북구점
783,헬로스위트
784,영원아카이브
785,체크인치즈
786,멍뭉몽
787,더소소한커피
788,접속
789,투머치 달서점
790,마블리크
791,카페어노드
792,나스커피로스터스
793,데이세븐
794,무온
795,와따멍
796,블루벤치
797,컴포즈커피 대구도원점
798,정찻집
799,브쇼
800,매스커피 경북대점
801,브릴란테
802,박물관이야기
803,몽키바나나
804,카페와이(cafe y)
805,두두커피
806,식스센스
807,블라인드멜론 북문점
808,미유버터
809,선택의자유
810,송학
811,카페밀리언
812,로렌디저트
813,핸즈커피 각산점
814,카페빙수야 남구점
815,약사커피숍
816,꽃플라워카페
817,베이크앤드
818,더캄
819,오브제커피하우스
820,띵크커피 대구상인점
821,수에르떼
822,트리 굿커피 공고네거리점
823,카페탬스
824,라테라스웨딩 카페라테라스
825,파스쿠찌 대구두류점
826,둥블랑
827,밀크티900
828,블랙디어카페앤펍
829,크레마을카페
830,카페1003호
831,영카페
832,손호출카페
833,원파인트리
834,파스쿠찌 대구남산역점
835,로파이
836,몬스터커피 이시아폴리스점
837,산아래풍경
838,뮤즈
839,베스트프레즐 대구월성점
840,윤슬다
841,파인필
842,포레스트45
843,가이아
844,송도다방
845,백도시
846,모로커피
847,주블리
848,무인커피공장
849,와플칸 대구진천점
850,이디야커피 수목원점
851,공주다육카페
852,룰루블루
853,헬리빈커피 경대북문점
854,파티세리 백산
855,커피주
856,이포트로스터리카페
857,커피하우스미니모리
858,카페어울림
859,디저트39 대구 수성못점
860,투썸플레이스 동대구역사점
861,몬스터커피 황금캐슬점
862,대덕다방
863,이삐커피 죽전역점
864,청춘다방낭만커피
865,플란트
866,카페인
867,더드림커피 읍내점
868,더메종
869,토닥이다
870,카페티그레
871,카페세라
872,달레스커피
873,나눔카페
874,스트릿퍼플커피
875,텐퍼센트커피 대구월배점
876,카페몽티603베이커리
877,카페오드
878,카페봄봄 용산역점
879,투샷커피
880,별들의다방 대구침산점
881,커피꽃으로물들다
882,카페더힐
883,피끄
884,리프
885,다온 이시아폴리스점
886,명덕로88
887,마시그래이 팔달점
888,텐퍼센트커피 대구교대하늘채점
889,예니네 베이커리카페 대구점
890,평온
891,르쁘띠팔레드 고바슨 성서점
892,덴버
893,억수
894,esc 범물점
895,오마모리 진천점
896,빌라데스테
897,카페우스리
898,몬스터커피 장기점
899,더벤티 대구동구청점
900,컵넛 동성로점
901,석류다방
902,커피명가휴
903,컴포즈커피 대구신천점
904,세렌디피티
905,슈미제
906,커피다커피
907,오브너
908,뚜뚜마카롱&디저트
909,파스쿠찌 대구앞산정은점
910,요거트아이스크림의정석 화원대곡점
911,복숭아다방
912,석뮤직
913,마시그래이 범어로데오점
914,비엔나커피하우스 대구오페라삼정점
915,쥬카롱
916,카페틸
917,동남다방
918,하프커피 대구점
919,세종다방
920,S&T커피
921,상아다방
922,쿠잉버터
923,보네티
924,픽앤믹스
925,팔공티 동변점
926,추억스케치
927,마카다카롱
928,161커피스튜디오 상인점
929,투데이로스팅커피 국우점
930,메가MGC커피 대구침산점
931,카페비올레타
932,이디야커피 대구용산점
933,블랙비버커피
934,컴포즈커피 대구사월역점
935,브리플리
936,첼로벅스
937,기찻길
938,바솜
939,샘터루
940,유캔두잇 대구칠곡점
941,요있찌(YOITZZY)
942,크크.라니커피
943,만지고놀고 슬라임카페
944,썸
945,그림커피숍
946,우리의낮과밤
947,그라찌에 수성대학교 젬마관점
948,커피에반하다 대구상동점
949,나우커피 대구유가점
950,컵넛 월성점
951,커피매거진
952,카페마시로
953,커피명가 선스포츠점
954,디플랫
955,유아독존
956,뜰
957,커피마을
958,트롤리케이크
959,무인카페온 감삼43-2점
