,카페이름
694,코디깅베이크샵
695,텐퍼센트커피 대구죽전역점
696,지유명차 대구지산범물점
697,카페77
698,카페헤이미쉬
699,미궁다방
700,모하커피
701,에녹커피클레식
702,에이피엠
703,아트바소담
704,목로스터리카페
705,빽다방 대구알파시티점
706,무온
707,카페어뉴
708,카페루멘
709,여우와늑대
710,뮤직카페M
711,컴피커피앤디저트
712,케이지
713,"카페, 휘월"
714,모네꽃을그리다
715,카페오키도키
716,우록갤러리
717,자작스터디카페 옥포점
718,마루스테이
719,오로다커피
720,코어샌드 커피
721,탑리터 현풍점
722,투데이 플라워&커피
723,템푸스
724,어벤더치커피 대구 지범점
725,스타벅스 대구죽전역점
726,천미리다방 시지점
727,더리터 대구서문시장점
728,깡통라이브카페
729,카페오드
730,카페봄봄 용산점
731,어뉴
732,할리스 대구세천점
733,경이로운커피 대구점
734,꽃개
735,텐퍼센트커피 대구월배점
736,획
737,플라워&커피어울림
738,오디커피
739,쏭쏭계란빵 성당점
740,사거리커피숍
741,썬솔
742,U커피
743,약속다방
744,Cafe B1.84
745,메종드빈
746,카페조이원
747,커피와담소사이
748,식스에비뉴
749,만랩커피 대구진천역점
750,더바나
751,스타지오네
752,에이치코너
753,투썸플레이스 대구죽곡공원점
754,밀크티900
755,카페봄봄 본리점
756,더블유더블유더블유 www.와플주소
757,카페따숲
758,채송화라이브봄날카페
759,스노우비바리스타비
760,미리지구
761,시스영
762,오늘하루
763,아더와이즈커피
764,공대생카페
765,글리코카페
766,우성다방
767,카페봄봄 명곡점
768,엔드포인트
769,그릿 상인점
770,설빙 이곡점
771,앤하우스커피
772,버터밀
773,투머치 달서점
774,커피구락부
775,제이랑디저트
776,히몽
777,브쇼
778,레드하우스
779,비치클럽커피 상인역점
780,HEYD
781,원디렉션
782,읍천리382 대구감삼점
783,디저트39 대구 테크노폴리스점
784,썸데이아이윌
785,비스켓팩토리
786,비티케
787,대동커피숍
788,부바스
789,백림다방
790,투썸플레이스 대구진천아이팜메디타워점
791,원쿡 대구스타디움점
792,버블앤
793,돌페리
794,와룡문화커피
795,카페버니보느
796,커피프렌드
797,갤러리아르떼카페
798,달커피
799,홍다방
800,카페 내당힐
801,탑리터 시지점
802,커피다커피
803,푸푸커피 진천점
804,커피온리 동아백화점수성점
805,청솔로9 월성점
806,커피꽃으로물들다
807,동건커피&빌리아드
808,카페돌리아 논공점
809,132에비뉴
810,T.S카페
811,커피그리고
812,몬스터커피 이곡점
813,라이크유
814,알페도아이스크림
815,비하겐커피
816,예쁜하루디저트카페
817,운터커피
818,몬딘커피
819,킹스빙스커피
820,온니컵로스터리
821,공차 대구죽곡점
822,공차 대구대곡점
823,부명다방
824,내가디저트
825,컴포즈커피 대구두류역점
826,카페S2 성서시니어카페
827,디어투
828,카페봄봄 시지퍼스트점
829,161커피스튜디오 화원명곡점
830,카페프란체스코
831,드롭탑 논공휴게소대구방향점
832,커피나인 대구장기로
833,하삼동커피 대구다사점
834,매스커피 범물역점
835,커피엔
836,마마
837,컴인커피
838,캠핑카페제주
839,카페봄봄 동화점
840,덤덤커피바
841,카페마실
842,이즈
843,헨젤과그레텔
844,모조리
845,설롱커피
846,만나
847,잼이과자점
848,부석다방
849,커피하우스미니모리
850,벌크커피 현풍테크노점
851,바람이불어오는곳
852,비베카
853,어닷
854,인웨이브
