,0
봉덕2동 더벤티 대구봉덕점,https://drive.google.com/uc?id=1Ty8F9oM0P4U0gdTbVkf2NJXIIlALQYzA
봉덕2동 이디야커피 대구봉덕점,https://drive.google.com/uc?id=13aiuZq0OrjUzxcZplh5c1JaokFLwOfpX
이천동 시즌,https://drive.google.com/uc?id=1SgYcVGwx6LrQi3SsPShIyErx5Y6KV4wC
대봉2동 고아옥,https://drive.google.com/uc?id=1u1nFDNz3Rg1FrFMJsHUiLPWth7Wb-CUe
이천동 이천동미미,https://drive.google.com/uc?id=1xSQ0q-3Q3EnqwdZi-yxz4dCfvygi3bfS
대봉2동 사월보름,https://drive.google.com/uc?id=1mrHhP93NXQhyxhND_epQTHys4T6xbQYU
대명9동 네이비그레이,https://drive.google.com/uc?id=14cGNtzd6sijuwPTYc4i5LwtWy4PsNcWw
대명5동 촉,https://drive.google.com/uc?id=1tuJbHcxxsVB9-32yZjppUTrWgVCITmSm
대명4동 요있찌(YOITZZY),https://drive.google.com/uc?id=1r-xoSvWsW50LJCE4eiKIskJ5J5rXgP7J
대명1동 카페사코,https://drive.google.com/uc?id=1NWrMz0hXDT2JjTSvKhkI78Zk61E6w-4L
대명1동 해피블루밍,https://drive.google.com/uc?id=1KQIA3KGIOeRtngWYBao5qdUhOXnVLMt-
대명5동 1972포포징,https://drive.google.com/uc?id=1ktIHqSvkinPChV6fCNsiTsSBQv_3ZImm
대명5동 제리킹커피,https://drive.google.com/uc?id=1N_-4zGj_9E2DMZN2rYuHtLx1qHZS1qS8
대명2동 청솔로9 남구점,https://drive.google.com/uc?id=1IwidYlH52l_OCpxFyC6b1XeLaYQzjcEC
대명2동 텐퍼센트커피 대구교대하늘채점,https://drive.google.com/uc?id=1hD2hf79nd4XJ1tsStWcUhLJp2gxhrIcI
대명2동 역앞카페,https://drive.google.com/uc?id=1-vgfFmVTApWFKQVMgXJyrIS9Oh52CJm_
대명2동 월넛커피,https://drive.google.com/uc?id=10qxcGrDwfVxAL3OQE2-LRRg5qkWce7zW
대명2동 카페봄봄 교대점,https://drive.google.com/uc?id=1PxGvecgGqwJ9Ee8iNj5YXOiRd4Bv3_03
대명2동 커피특별시,https://drive.google.com/uc?id=1VL8QjhlSuHL13kTFV7j051d0v-Zrx2a3
대명2동 카페오헤,https://drive.google.com/uc?id=18jPTSBa8erUvvS8YmWWXZSGe1XSBIojH
봉덕1동 디아이와이우드,https://drive.google.com/uc?id=1Bm77-JVRnHQT_e3L0SR_diSdSibUEDuI
봉덕3동 네쥬,https://drive.google.com/uc?id=106Tv98S1U3AwdPlXRuKgSoJ-Qb3w8gBr
대명5동 카페빅플랫,https://drive.google.com/uc?id=1h26q69z1k-2fmJbWXRzZ7a-GhRGZw09q
대명2동 아라커피,https://drive.google.com/uc?id=17n7hJjAkWmI1DpDi9zD1gTYl_D1rpkjU
대명5동 케이클래스커피 본점,https://drive.google.com/uc?id=16-7A4MUEUh2ReZ34TDodetm7z1_djPT9
봉덕1동 카페드로,https://drive.google.com/uc?id=1fdLDYSioRmA5pSsGQxlfkgSfIHlWqQ71
대명2동 캔버스 교대점,https://drive.google.com/uc?id=1460sC2LPVP3Gjdl70JzZJwK33sJU7Yvd
이천동 베어쉽하우스,https://drive.google.com/uc?id=15CG8G8-KKLd6ATrq5sItZjYgLEaLgGHj
대명2동 반할커피 남구점,https://drive.google.com/uc?id=1bRt9jRbZBHZjBZNT03ryDvstYCnQAj-Q
남산3동 퐁당,https://drive.google.com/uc?id=1bNBDy30RloZf4XJgBiOfsNvV4U_upQwk
대명10동 파가니니,https://drive.google.com/uc?id=1-efKEfNZIWUAV1s7XkkBNYaMF3UyB25U
남산1동 카페마시로,https://drive.google.com/uc?id=1kpMxah6vy_YdIDtIhha7cwt4QPR2yYtC
남산1동 공차 경북예고점,https://drive.google.com/uc?id=15Rku6i6YvA32nUFsUfROUEpxy88lJzR-
대명2동 카메라타카페,https://drive.google.com/uc?id=1KxyquJTwnn_KB3zAXZizagqS_nB0OQPE
남산3동 큐케이,https://drive.google.com/uc?id=1kExX3ts1aYIlHJzwKdWQWgTF5ovWcs3S
대명2동 시애틀의 잠못이루는밤,https://drive.google.com/uc?id=19XA-M0KzbzFeu0FPWB2tihupLbnPT7CG
남산3동 그저모이기,https://drive.google.com/uc?id=1oqvKpvZn3-zJh27mgi85GXUAVCVNn9p2
남산1동 커피다라,https://drive.google.com/uc?id=1P_6zSV5wZjY-QVf4OdLnq7nevKCCeSHq
남산3동 헤이트먼데이,https://drive.google.com/uc?id=1HUYBrszpOhcT7JQIUosP64ZTshUrsIJ_
대명2동 앵커커피컴퍼니,https://drive.google.com/uc?id=1bRpyGYfxm4xb331dBNrGtmNHkfWqE9fq
