,0,1,2
대명11동 카페오슬링(Osling),https://drive.google.com/uc?id=1oDB5Z0CF85hxv4Eq6RpaDl-NS3PME75c,https://drive.google.com/uc?id=1D_iraFR0cXy6DFs4pJ6PrmENRtCveZkl,https://drive.google.com/uc?id=1Pxao1jL3HtAOl-v40XVQtJkcwq-2LTCY
대명6동 또다,https://drive.google.com/uc?id=1Ej-uYtPtb7_4PySoUDKrnutme0HrpKO-,https://drive.google.com/uc?id=1nqAZ_gr2y7TxU-gyxG5FqLW_Y9EMSkbh,https://drive.google.com/uc?id=1EucID7YXbXxuq8Zd6UtJhEigiW0fCql_
대명10동 비아또,https://drive.google.com/uc?id=1rFM2QRslDkBrjLg1KA95wbSsiLhuB-JO,https://drive.google.com/uc?id=1aNHQ_eLKw-Np7kiegb-8jPSF6iTfmbcB,https://drive.google.com/uc?id=1lU-AipH7jTa0M6N_MiA2b7NpK_otKE_y
대명1동 카페점보,https://drive.google.com/uc?id=1VRChsW4KDK5k_1dAz0yUVgz7YiDgBUl7,https://drive.google.com/uc?id=1Pr7-W2E8yEuccxYsixzeK0XVEfnFE6OC,https://drive.google.com/uc?id=1oFeoYTQRP_q7g5MLqpgG0-9u_EkwhAtp
대명9동 이집,https://drive.google.com/uc?id=1qACmWdeFUA-eKA044-TV27zrabE9w0qc,https://drive.google.com/uc?id=1HCiSfuRRwF5W8Xnbi_7cWkAJJzoPWEG5,https://drive.google.com/uc?id=1SmCIEsVf2717oLnIYvxjT9_awbf3XJI_
대명1동 159센티미터,https://drive.google.com/uc?id=1icDxRD7v9p7o_CxsaRwPA4gS4ZFyul3B,https://drive.google.com/uc?id=1GTbVtYeRp_n8ifZKUQ58ajootLTottq-,https://drive.google.com/uc?id=1zjnbEobHbluREcSzi9Crh5Tw9hhCgpHV
대명1동 어름,https://drive.google.com/uc?id=1CBTSrkEI_0uEYscqr6p09yUhDK9IlDvX,https://drive.google.com/uc?id=12Ob2YXV2ZFKkBXliTcp9jp7iOdqjFbW0,https://drive.google.com/uc?id=1oR5cq6p0m2X-mAo4ImYu08_QE_jbWeJw
대명9동 셀파파,https://drive.google.com/uc?id=1BFlJcgwSJOMNoJXTpquoIT7dQw7SaVmt,https://drive.google.com/uc?id=1bnxZy-LTYbNxS7GLipHjdb8CnaKN1jOm,https://drive.google.com/uc?id=1aC0yC6ltg2KF6MkieijXBWyVrVt5ujdS
대명5동 포밍고,https://drive.google.com/uc?id=12ZLaqrQDzV760rqZb1RAshAcZAQVj7O1,https://drive.google.com/uc?id=108yCWIDdSFQ_8fYUSPyMXHnT5vIZesgf,https://drive.google.com/uc?id=109Yjr7r0GRSYU6jhhoDWVof5zp1LDpTa
대명5동 쉼표,https://drive.google.com/uc?id=1PLcv88nc4Yx1Bi-_Oeviqu1fivxo0oly,https://drive.google.com/uc?id=1kxXTKGF6krCpwvaBVaDh0GG5BB6JrURV,https://drive.google.com/uc?id=1CcMMxsGdcHLgIZJlmgWQwlrb30FNEPO0
대명5동 팔공티 대구영대병원점,https://drive.google.com/uc?id=11h7ilNBprSxmqG3ISDS63_IwH9Q_0eat,https://drive.google.com/uc?id=1NXop48J_f8U6ByKPcIR8EmwcmUUdWFgR,https://drive.google.com/uc?id=1yfSyI4m5R-EbJbg6GfSzPeuaR-k3IH4e
대명4동 마시다,https://drive.google.com/uc?id=10nqFvChoUiH1mtckCeMTT_uhoSKJzoNt,https://drive.google.com/uc?id=1s6elmEZm112KZktGFB-39QR5QAtElRgy,https://drive.google.com/uc?id=1dJNuS6n_qtKXTRNpj9Ip3k1fEaOvy1PN
대명4동 카페몬트,https://drive.google.com/uc?id=1rAEL0qKk2i3lpCQ0xRhWoRh6yKMJW8Ba,https://drive.google.com/uc?id=1dv2OG31EPhg8CjqhDszepzKMtWbJJjFu,https://drive.google.com/uc?id=1kVGXL29MLZoQYpR5v1Bw8uNvVQMcSNj9
대명10동 뜰,https://drive.google.com/uc?id=1E0AfBV4o4vXOa9hcJcNSPQtQS-SiqoiS,https://drive.google.com/uc?id=1RWlqK8pEeyuLrIW2G9rigCLQKMakJjDL,https://drive.google.com/uc?id=1z4Z1px9kdkOk7Cc5PSJEJ-ez15pAVFNI
송현1동 몬딘,https://drive.google.com/uc?id=1adFCosSELXzAYkgVzBJHVPg-JjQLPZd-,https://drive.google.com/uc?id=1WHFSnX91UTke1PaRkUZjFUYiSpOHjVXU,https://drive.google.com/uc?id=1xEIQ_bgotlCsIXNIF--JzHpN-_25887x
송현1동 팔공티 관문시장점,https://drive.google.com/uc?id=134O_K3mmLjHmJmdbZxbyi47isxl2vc1m,https://drive.google.com/uc?id=1oBwUYpAOGhDUN4KBpdT7e93uOqA9zJbk,https://drive.google.com/uc?id=1aOr9vaFb4VrnCB20kYH1siV4VVUMHdt-
대명6동 어라운드,https://drive.google.com/uc?id=1qTgRovYmpUtGKHvuCYCteb5pWOtjcy1F,https://drive.google.com/uc?id=1OuhWjHk7ymzyyilKsWks39uC2mINRXhp,https://drive.google.com/uc?id=1pTvo2_CXOju25HZMKC3k5oAx2bw0hTEL
