,사업장명,카페이름
2250,남산4동 카페너와나여행,카페 발리 하이
2251,남산3동 빽다방 대구청라힐스자이점,빽다방 대구청라힐스자이점
2252,남산3동 메가MGC커피 대구청라힐스점,메가MGC커피 대구청라힐스점
2253,남산4동 더리터 청라힐스자이점,더리터 청라힐스자이점
2254,대신동 더벤티 대구청라힐스자이점,더벤티 대구청라힐스자이점
2255,대신동 하삼동커피 청라언덕역점,하삼동커피 청라언덕역점
2256,남산4동 커피집,커피집
2257,남산4동 행복커피,행복커피
2258,대신동 카페인중독 대구남산점,카페인중독 대구남산점
2259,남산3동 메종드남산,메종드남산
2260,남산4동 카페어노드,카페어노드
2261,남산4동 라삐아이,라삐아이
2262,남산4동 파클렛,파클렛
2263,대신동 몬스터커피 남산점,몬스터커피 남산점
2264,남산3동 카페시집,카페 시집
2265,남산4동 카페오오디,ood
2266,남산3동 이디야커피 대구남산점,이디야커피 대구남산점
2267,남산4동 스위치남산,스위치남산
2268,남산4동 카페 몬짜(CAFFE MONZA),카페몬짜
2269,남산2동 모던다방,모던다방
2270,성내2동 피쉬마운트커피 남성로점,피쉬마운트커피 남성로점
2271,남산2동 리시트 현대점,리시트 현대
2272,남산2동 아리츠,아리츠
2273,남산2동 슬로우터틀 약전골목점,슬로우터틀 약전골목점
2274,남산2동 커피명가 반월당점,커피명가 반월당점
2275,비산4동 이디야커피 대구대신중앙점,이디야커피 대구대신중앙점
2276,대신동 매스커피 대신남산점,매스커피 대신남산점
2277,내당3동 컴포즈커피 대구대신자이점,컴포즈커피 대신자이점
2278,내당3동 빽다방 대구대신자이점,빽다방 대구대신자이점
2279,내당3동 카페봄봄 대신점,카페봄봄 대신점
2280,남산3동 카페이랑 남산점,카페이랑 남산점
2281,남산2동 라미아에밀리,라미아에밀리
2282,남산2동 슈퍼말차 더현대대구,슈퍼말차 더현대대구
2283,성내2동 폴바셋 더현대 대구점,폴 바셋 더현대 대구
2284,남산2동 조앤더주스 더현대대구점,조앤더주스 더현대 대구
2285,남산2동 노벨커피,노벨커피
2286,남산2동 빽다방 대구반월당현대점,빽다방 대구반월당현대점
2287,남산2동 더벤티 대구동아쇼핑점,더벤티 대구동아쇼핑점
2288,남산2동 공차 대구동아쇼핑점,공차 대구동아쇼핑점
2289,남산2동 망티커피 대구반월당점,망티커피 대구반월당점
2290,성내2동 고바슨 반달스퀘어점,고바슨 반달스퀘어점
2291,남산2동 빽다방 대구반월당지하점,빽다방 대구반월당지하점
2292,남산2동 메가MGC커피 대구메트로센타점,메가MGC커피 대구메트로센타점
2293,남산2동 인더가든,인더가든
2294,성내1동 파스쿠찌 대구동성로광장점,파스쿠찌 대구동성로광장점
2295,성내1동 로드커피,로드커피
2296,성내1동 코즈,코즈
2297,삼덕동 이디야커피 대구봉산육거리점,이디야커피 대구봉산육거리점
2298,삼덕동 투썸플레이스 대구누네안과병원점,투썸플레이스 대구누네안과병원점
2299,대봉1동 팔공티 경대병원역점,팔공티 경대병원역점
2300,대봉1동 리틀빅커피,리틀빅 커피
2301,삼덕동 명인,명인
2302,대신동 커피셀러,커피셀러
2303,대신동 굿데이마마,굿데이마마
2304,남산3동 롤러커피,롤러커피
2305,성내2동 카페카리부,카리부카페
2306,남산2동 청담커피 계산점,청담커피 계산점
2307,남산2동 두남,카페두남
2308,남산2동 한나커피,한나커피
2309,대봉1동 멜로우즈,멜로우즈
2310,대봉2동 스토크,스토크커피앤파티세리
2311,삼덕동 살구,살구
2312,삼덕동 벵봉,벵봉
2313,삼덕동 헤이넛,헤이넛
2314,삼덕동 우리의낮과밤,우리의 낮과밤
2315,삼덕동 모캄보 대구삼덕점,모캄보 대구 삼덕점
2316,삼덕동 더벤티 경대병원점,더벤티 경대병원점
2317,삼덕동 카페큐알,카페큐알
2318,삼덕동 컬렉팅더모먼츠,컬렉팅더모먼츠
2319,삼덕동 삼더크,삼더크
2320,삼덕동 투썸플레이스 대구삼덕점,투썸플레이스 대구삼덕점
2321,삼덕동 카페헤이하이,헤이하이
2322,삼덕동 티라레미수 대구삼덕점,티라레미수
2323,삼덕동 p.34,p.34
2324,대봉1동 카페문101,cafe Moon101
2325,대봉1동 언밸런스,언밸런스
2326,대봉1동 고이그,고이그
2327,대봉1동 캣냅,캣냅
2328,대봉1동 헤이븐스 미쉘,헤이븐스미쉘
2329,삼덕동 커피맛을조금아는남자,커피맛을조금아는남자
2330,삼덕동 샤밀,샤밀
2331,대봉1동 카페봄봄 김광석골목점,카페봄봄 김광석골목점
2332,성내2동 커피팀버 서문점,커피팀버 서문점
2333,내당3동 핸즈커피 서문시장점,핸즈커피 서문시장점
2334,이천동 요거트렌디,요거트렌디
2335,이천동 대봉동 문,대봉동 문
2336,대봉2동 빽다방 대구대봉점,빽다방 대구대봉점
2337,대봉2동 헤이듀,헤이듀
2338,대봉2동 마시그래이 센트로봉산점,마시그래이 센트로봉산점
2339,대신동 빙내가,빙내가
2340,대신동 슬립리스인시애틀 서문시장점,슬립리스인시애틀 서문시장점
2341,삼덕동 매스커피 경대병원역점,매스커피 경대병원역점
2342,삼덕동 핸즈커피 경대병원점,핸즈커피 경대병원점
2343,삼덕동 하늘카페,하늘카페
2344,삼덕동 이디야커피 대구경북대병원점,이디야커피 대구경북대병원점
2345,동인동 이디야커피 대구MS재건병원점,이디야커피 MS재건병원점
2346,대봉2동 오가닉모가,오가닉모가
2347,대봉1동 크롭투컵,크롭투컵
2348,대봉1동 샌드록커피,샌드록커피
2349,대봉1동 매스커피 대봉점,매스커피 대봉점
2350,대봉1동 샤인오브유,샤인오브유
2351,대봉2동 벽돌집,벽돌집
2352,대봉2동 미드웨이,미드웨이
2353,대봉1동 몬다코,몬다코
2354,대봉1동 바람불어오는곳,바람이불어오는곳
2355,수성4가동 수평적관계,수평적관계
2356,삼덕동 빽다방 대구경대병원점,빽다방 대구경대병원점
2357,삼덕동 피컵요거트,피컵요거트
2358,삼덕동 로망띠끄,로망띠끄
2359,신천1동 검은구상,검은구상
2360,신천1동 디르페,디르페
2361,수성4가동 하얀기억,하얀기억
2362,동인동 서로의달,서로의달
2363,동인동 텐퍼센트커피 대구삼덕점,텐퍼센트커피 대구삼덕점
2364,동인동 해피슈르,해피슈르
2365,동인동 카페자매집,카페자매집
2366,동인동 박가네커피,박가네커피
2367,동인동 동인정취,동인정취
2368,동인동 홍오커피,홍오커피
2369,동인동 카페퀸즈,카페퀸즈
2370,수성1가동 프롬오지,프롬오지
2371,대봉2동 선댄스팜,선댄스팜
2372,대봉1동 라우스터프 대봉,라우스터프 대봉
2373,성내1동 컴포즈커피 대구동성로점,컴포즈커피 동성로점(대구동성로1호점)
2374,성내1동 접속,접속
2375,성내1동 소일,소일
2376,성내1동 디저트39 대구동성로점,디저트39 대구동성로점
2377,성내1동 투썸플레이스 대구주얼리광장점,투썸플레이스 대구주얼리광장점
2378,성내1동 문화장,문화장
2379,성내1동 투썸플레이스 대구동성로광장점,투썸플레이스동성로광장점
2380,성내1동 핸즈커피 동성로데오점,핸즈커피 동성로데오점
2381,삼덕동 웰크레페 동성로점,웰크레페 동성로점
2382,삼덕동 탐스커버리 동성로점,탐앤탐스 동성로점
2383,성내1동 랑데자뷰 대구동성로점,랑데자뷰 대구동성로점
2384,성내1동 커피모렌,커피모렌
2385,성내1동 파스쿠찌 대구동성로점,파스쿠찌 대구동성로점
2386,성내1동 커피빈 대구228공원앞점,커피빈 대구228공원앞점
2387,성내1동 도리안그레이,도리안그레이
2388,삼덕동 카페달달 동성로본점,카페달달 동성로본점
2389,성내1동 브라운브릭스,브라운브릭스
2390,고성동 타임,타임
2391,성내1동 동성로미술관,동성로미술관
2392,성내1동 티클래스 리저브 르샤블랑,티클래스 리저브 르샤블랑
2393,삼덕동 머그컵,머그컵
2394,삼덕동 주다방,주다방 동성로점
2395,성내1동 커피매거진,커피매거진
2396,성내1동 마이커피컬로맨스,마이커피컬로맨스
2397,삼덕동 마스터키 동성로2호점,마스터키 동성로로데오점
2398,삼덕동 투썸플레이스 대구동성로점,투썸플레이스 대구동성로점
2399,삼덕동 콩카페 대구동성로로데오점,콩카페 대구동성로로데오점
2400,삼덕동 셜록홈즈 동성로점,셜록홈즈 동성로점
2401,성내1동 설빙 동성로대백점,설빙 대구동성로대백점
2402,성내1동 할리스 대구동성로점,할리스 대구동성로점
2403,성내1동 공차 대구동성로점,공차 동성로점
2404,남산4동 달콤미술관,달콤미술관
2405,남산4동 캔버스,캔버스
2406,남산1동 더리터 명덕역점,더리터 명덕역점
2407,남산3동 카페이층공작소,카페이공
2408,남산1동 번데기클럽,번데기클럽
2409,이천동 대봉정,대봉정
2410,이천동 원파인트리,원파인트리
2411,이천동 킹콩쥬스앤커피 대백프라자점,킹콩쥬스앤커피 대백프라자점
2412,수성1가동 오가다 대구대백프라자점,오가다 대구대백프라자점
2413,대봉1동 커피명가 프라자점,커피명가 프라자점
2414,대봉1동 공차 대구백화점플라자점,공차 대구백화점플라자점
2415,수성1가동 파노라마 포레스트180,파노라마포레스트180
