,사업장명,카페이름,,,,,,,,
78,대명5동 동네커피 대명점,동네커피 대명점,,,,,,,,
79,대명5동 커피매거진 영대병원점,커피매거진 영대병원점,,,,,,,,
80,대명5동 요거트월드 대명점,요거트월드 대명점,,,,,,,,
81,대명5동 카페 리브라,카페 리브라,,,,,,,,
82,봉덕2동 브렌치카페,브랜치카페,,,,,,,,
83,대명5동 스타벅스 대구영대병원역DT점,스타벅스 대구영대병원역DT점,,,,,,,,
84,봉덕2동 카페봉덕,카페봉덕,,,,,,,,
85,봉덕2동 칼라스,칼라스쿠키,,,,,,,,
86,봉덕1동 나랑노랑,나랑노랑,,,,,,,,
87,봉덕2동 혜이커피,혜이커피,,,,,,,,
88,대명2동 마스가토,마스가토,,,,,,,,
89,봉덕1동 띤또카페,로스터리카페 띤또,,,,,,,,
90,봉덕1동 카페봄봄 남구청점,카페봄봄 남구청점,,,,,,,,
91,봉덕2동 그다방,그다방,,,,,,,,
92,봉덕1동 코지커피,코지커피,,,,,,,,
93,이천동 별책다방,별책다방,,,,,,,,
94,봉덕3동 랑데부,랑데부,,,,,,,,
95,대명2동 아티스트바이,아티스트바이,,,,,,,,
96,대명3동 예니네 베이커리카페 대구점,예니네 대구점,,,,,,,,
97,대명3동 타미즈바이올렛,타미즈바이올렛카페,,,,,,,,
98,대명3동 펠리즈커피,펠리즈커피,,,,,,,,
99,남산4동 더캄,더캄,,,,,,,,
100,봉덕3동 텀브커피 대구봉덕점,텀브커피 대구봉덕점,,,,,,,,
101,대명9동 월포리91,월포리91,,,,,,,,
102,대명1동 읍천리382 대구본점,읍천리382 본점,,,,,,,,
103,대명1동 더크,더크,,,,,,,,
104,대명9동 오어앤,오어앤,,,,,,,,
105,대명6동 오르다카페,오르다카페,,,,,,,,
106,대명9동 책상,책상,,,,,,,,
107,대명6동 식물가게온화,식물가게온화,,,,,,,,
108,대명10동 카페경혜네,카페경혜네,,,,,,,,
109,대명10동 카페보스 대명1호점,카페보스 대명1호점,,,,,,,,
110,대명6동 베니떼익스프레스,카페 베니떼익스프레스,,,,,,,,
111,대명6동 스미스로,스미스로,,,,,,,,
112,대명10동 아티세리,아티세리,,,,,,,,
113,대명10동 커피컨넥트,커피컨넥트,,,,,,,,
114,대명11동 포린,포린,,,,,,,,
115,대명6동 이디야 앞산점,이디야커피 대구앞산점,,,,,,,,
116,대명6동 빨간우체통,빨간우체통,,,,,,,,
117,대명6동 핸즈커피 앞산점,핸즈커피 앞산점,,,,,,,,
118,대명6동 카펠라,카펠라,,,,,,,,
119,대명6동 아눅앞산,아눅 앞산,,,,,,,,
120,봉덕3동 갤러리커피,갤러리커피,,,,,,,,
121,대명9동 커피방정식,커피방정식,,,,,,,,
122,대명6동 커피플라자,커피플라자,,,,,,,,
123,대명6동 라겟옴,라겟옴,,,,,,,,
124,대명9동 댐퍼커피,댐퍼커피,,,,,,,,
125,대명3동 스위트팩토리,스위트팩토리,,,,,,,,
126,대명2동 하우,하우,,,,,,,,
127,대명2동 까페영선,까페영선,,,,,,,,
128,이천동 메모리인히어,메모리 인 히어 명덕,,,,,,,,
129,봉덕2동 카페몽티603베이커리,카페 몽티 603베이커리,,,,,,,,
130,봉덕2동 고산가배,고산가배,,,,,,,,
131,송현1동 컴포즈커피 대구서부정류장점,컴포즈커피 대구서부정류장점,,,,,,,,
132,봉덕1동 휩,휩,,,,,,,,
133,봉덕1동 컴포즈커피 대구봉덕점,컴포즈커피 대구봉덕점,,,,,,,,
134,봉덕2동 더벤티 대구봉덕점,더벤티 대구봉덕점,,,,,,,,
135,봉덕2동 이디야커피 대구봉덕점,이디야커피 대구봉덕점,,,,,,,,
136,이천동 시즌,시즌,,,,,,,,
137,대봉2동 고아옥,고아옥,,,,,,,,
138,이천동 이천동미미,이천동미미,,,,,,,,
139,대봉2동 사월보름,사월보름,,,,,,,,
140,대명9동 네이비그레이,네이비그레이,,,,,,,,
141,대명5동 촉,촉,,,,,,,,
142,대명4동 요있찌(YOITZZY),요있찌,,,,,,,,
143,대명1동 카페사코,카페사코,,,,,,,,
144,대명1동 해피블루밍,해피블루밍,,,,,,,,
145,대명5동 1972포포징,1972포포징,,,,,,,,
146,대명5동 제리킹커피,제리킹 커피,,,,,,,,
147,대명2동 청솔로9 남구점,청솔로9 남구점,,,,,,,,
148,대명2동 텐퍼센트커피 대구교대하늘채점,텐퍼센트커피 대구교대역하늘채점,,,,,,,,
149,대명2동 역앞카페,역앞카페,,,,,,,,
150,대명2동 월넛커피,월넛커피,,,,,,,,
151,대명2동 카페봄봄 교대점,카페봄봄 교대점,,,,,,,,
152,대명2동 커피특별시,커피특별시 대구교대점,,,,,,,,
153,대명2동 카페오헤,카페오헤,,,,,,,,
154,봉덕1동 디아이와이우드,디아이와이우드,,,,,,,,
155,봉덕1동 하녹,하녹,,,,,,,,
156,봉덕3동 네쥬,네쥬,,,,,,,,
157,대명5동 카페빅플랫,빅플랫,,,,,,,,
158,대명2동 아라커피,아라커피,,,,,,,,
159,대명5동 케이클래스커피 본점,케이클래스커피 본점,,,,,,,,
160,봉덕1동 카페드로,카페드로,,,,,,,,
161,대명2동 캔버스 교대점,캔버스교대점,,,,,,,,
162,이천동 베어쉽하우스,베어쉽하우스,,,,,,,,
163,대명2동 반할커피 남구점,반할커피 남구점,,,,,,,,
164,남산3동 퐁당,퐁당,,,,,,,,
165,대명10동 파가니니,파가나악기,,,,,,,,
166,남산1동 카페마시로,카페마시로,,,,,,,,
167,남산1동 공차 경북예고점,공차 경북예고점,,,,,,,,
168,대명2동 카메라타카페,카메라타카페,,,,,,,,
169,남산3동 큐케이,큐케이,,,,,,,,
170,대명2동 시애틀의 잠못이루는밤,슬립리스인시애틀 경북예고점,,,,,,,,
171,남산3동 그저모이기,그저모이기,,,,,,,,
172,남산1동 커피다라,커피다라,,,,,,,,
173,남산3동 헤이트먼데이,헤이트먼데이,,,,,,,,
174,대명2동 앵커커피컴퍼니,앵커커피컴퍼니,,,,,,,,
175,남산4동 넬스커피,넬스커피,,,,,,,,
176,남산3동 꾸덕꾸,꾸덕꾸,,,,,,,,
177,대명9동 이나커피,대구앞산카페 이나커피,,,,,,,,
178,대명9동 코지모먼트,코지모먼트,,,,,,,,
179,대명9동 허니잘,허니잘,,,,,,,,
180,대명5동 이디야커피 대구대명동점,이디야 대구대명동점,,,,,,,,
181,대명4동 구공카페,구공카페,,,,,,,,
182,남산3동 설빙 대구대명점,설빙 대구대명점,,,,,,,,
183,대명3동 더벤티 대명계대점,더벤티 대명계대점,,,,,,,,
184,대명1동 설빙 앞산점,설빙 대구앞산점,,,,,,,,
185,대명1동 백금당,백금당 대구앞산점,,,,,,,,
186,대명9동 낯선익숙함,낯선익숙함,,,,,,,,
187,대명1동 디어스윗,디어스윗,,,,,,,,
188,대명9동 카페평일,카페평일,,,,,,,,
189,대명6동 옐로우브런치,옐로우브런치,,,,,,,,
190,대명9동 두낫디스터브앞산,두낫디스터브앞산,,,,,,,,
191,대명9동 플란트,플란트,,,,,,,,
192,봉덕3동 소금카페,소금카페,,,,,,,,
193,봉덕3동 무드부스터,무드부스터,,,,,,,,
194,봉덕2동 설카페,설카페,,,,,,,,
195,봉덕2동 커피농부,커피농부,,,,,,,,
196,봉덕2동 투썸플레이스 대구남구청희망로점,투썸플레이스 남구청희망로점,,,,,,,,
197,봉덕1동 이디야 대구이천점,이디야커피 대구이천점,,,,,,,,
198,진천동 카페봄봄 수목원점,카페봄봄 수목원점,,,,,,,,
199,진천동 핸즈커피 대곡점,핸즈커피 대곡점,,,,,,,,
200,진천동 커피팀버 대곡점,커피팀버 대곡점,,,,,,,,
201,진천동 유고,유고,,,,,,,,
202,진천동 몬탁에서 만나,몬탁에서 만나,,,,,,,,
203,진천동 커피허브,커피허브,,,,,,,,
204,감삼동 달콤하마,달콤하마,,,,,,,,
205,감삼동 장미카페 감삼점,장미카페 감삼점,,,,,,,,
206,죽전동 다복커피,다복커피,,,,,,,,
207,이곡2동 서로커피 이곡점,서로커피 이곡점,,,,,,,,
208,이곡2동 투썸플레이스 대구계명대점,투썸플레이스 계명대점,,,,,,,,
209,이곡2동 탐앤탐스 대구계명대학교점,탐앤탐스 대구계명대학교점,,,,,,,,
210,이곡1동 공차 대구이곡점,공차 대구이곡점,,,,,,,,
211,이곡2동 텐퍼센트커피 대구성서계명대점,텐퍼센트커피 성서계대점,,,,,,,,
212,신당동 카페봄봄 계명대점,카페봄봄 계명대점,,,,,,,,
213,신당동 카페봄봄 와룡점,카페봄봄 와룡점,,,,,,,,
214,신당동 더벤티 계명대점,더벤티 계명대점,,,,,,,,
215,이곡2동 달달한하루 계대동문점,달달한하루,,,,,,,,
216,신당동 두쇠르,두쇠르,,,,,,,,
217,신당동 달콩디저트,달콩디저트,,,,,,,,
218,신당동 카페인중독 대구성서계대점,카페인중독 대구성서계대점,,,,,,,,
219,신당동 피피피,피피피&뉴마왕핫도그 성서직영점,,,,,,,,
220,신당동 뉴포트비치커피,뉴포트비치커피,,,,,,,,
221,두류3동 켄버스,켄버스,,,,,,,,
222,송현2동 그룬,카페그룬,,,,,,,,
223,송현2동 카페반달,카페반달,,,,,,,,
224,본리동 카페테라스,카페 라테라스,,,,,,,,
225,본리동 핸즈커피 성당점,핸즈커피 성당점,,,,,,,,
226,성당동 데이데이커피,데이데이커피,,,,,,,,
227,대명11동 팔팔커피,팔팔커피,,,,,,,,
228,대명11동 빽다방 대구서부정류장역점,빽다방 대구서부정류장역점,,,,,,,,
229,본리동 은화,은화,,,,,,,,
230,성당동 보노미아,보노미아,,,,,,,,
231,신당동 메가MGC커피 대구계명대동산병원점,메가MGC커피 대구계명대동산병원점,,,,,,,,
232,신당동 공차 동산병원점,공차 동산병원점,,,,,,,,
233,용산1동 공차 홈플러스성서점,공차 홈플러스성서점,,,,,,,,
234,용산1동 이디야 성서점,이디야커피 대구성서홈플러스점,,,,,,,,
235,장기동 마시그래이 용산역점,마시그래이 용산역점,,,,,,,,
236,용산1동 일육일161커피스튜디오일등과일,161커피스튜디오 용산점,,,,,,,,
237,감삼동 홀리앤졸리 대구죽전점,홀리앤졸리 도넛&커피 대구죽전점,,,,,,,,
238,죽전동 와드커피 대구죽전역점,와드커피 대구죽전역점,,,,,,,,
239,죽전동 티드커피,티드커피,,,,,,,,
240,죽전동 더리터 대구감삼점,더리터 대구 감삼점,,,,,,,,
241,두류3동 컴포즈커피 대구감삼역점,컴포즈커피 대구감삼역점,,,,,,,,
242,두류3동 캔버스 감삼점,캔버스 감삼점,,,,,,,,
